"move_id","version_group_id","flavor_text"
"12","11","A vicious, tearing attack with big pincers. The target will faint instantly if this attack hits."
"12","15","A vicious, tearing attack with big pincers. The target faints instantly if this attack hits."
"12","25","A vicious tearing attack with big pincers. The target faints instantly if this attack hits."
"13","3","1st turn: Prepare 2nd turn: Attack"
"13","5","A 2-turn move that strikes the foe on the 2nd turn."
"13","7","Blades of wind hit the foe on the 2nd turn. It has a high critical-hit ratio."
"13","8","A two-turn attack. Blades of wind hit the foe on the second turn. It has a high critical-hit ratio."
"13","11","A two-turn attack. Blades of wind hit opposing Pokémon on the second turn. Critical hits land more easily."
"13","17","In this two-turn attack, blades of wind hit opposing Pokémon on the second turn. Critical hits land more easily."
"13","20","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"14","3","A dance that increases ATTACK."
"14","5","A fighting dance that sharply raises ATTACK."
"14","7","A frenetic dance of fighting. It sharply raises the ATTACK stat."
"14","8","A frenetic dance to uplift the fighting spirit. It sharply raises the user’s Attack stat."
"14","15","A frenetic dance to uplift the fighting spirit. This sharply raises the user’s Attack stat."
"14","24","A frenetic dance to uplift the fighting spirit. This raises the user’s offensive stats."
"14","25","A frenetic dance to uplift the fighting spirit. This sharply boosts the user's Attack stat."
"15","3","Cuts using claws, scythes, etc."
"15","5","Cuts the foe with sharp scythes, claws, etc."
"15","7","A basic attack. It can be used to cut down thin trees and grass."
"15","8","The foe is cut with a scythe or a claw. It can also be used to cut down thin trees."
"15","11","The target is cut with a scythe or a claw. It can also be used to cut down thin trees."
"15","15","The target is cut with a scythe or claw. This can also be used to cut down thin trees."
"15","17","The target is cut with a scythe or claw."
"16","3","Whips up a strong gust of wind."
"16","5","Strikes the foe with a gust of wind whipped up by wings."
"16","8","A gust of wind is whipped up by wings and launched at the foe to inflict damage."
"16","11","A gust of wind is whipped up by wings and launched at the target to inflict damage."
"17","3","Strikes the target with wings."
"17","5","Strikes the foe with wings spread wide."
"17","7","The foe is struck with large, imposing wings spread wide."
"17","8","The foe is struck with large, imposing wings spread wide to inflict damage."
"17","11","The target is struck with large, imposing wings spread wide to inflict damage."
"18","3","Blows away the foe & ends battle."
"18","5","Blows away the foe with wind and ends the battle."
"18","7","The foe is made to switch out with an ally. In the wild, the battle ends."
"18","8","The foe is blown away, to be replaced by another Pokémon in its party. In the wild, the battle ends."
"18","11","The target is blown away, to be replaced by another Pokémon in its party. In the wild, the battle ends."
"18","14","The target is blown away and switched. In the wild, a battle against a single Pokémon ends."
"18","15","The target is blown away, and a different Pokémon is dragged out. In the wild, this ends a battle against a single Pokémon."
"18","19","The target is blown away, and a different Pokémon is dragged out."
"19","3","1st turn: Fly 2nd turn: Attack"
"19","5","Flies up on the first turn, then strikes the next turn."
"19","7","A 2-turn move that hits on the 2nd turn. Use it to fly to any known town."
"19","8","The user soars, then strikes on the second turn. It can also be used for flying to any familiar town."
"19","11","The user soars, then strikes its target on the second turn. It can also be used for flying to any familiar town."
"19","15","The user soars and then strikes its target on the next turn. This can also be used to fly to any familiar town."
"19","17","The user soars and then strikes its target on the next turn."
"19","19","The user flies up into the sky and then strikes its target on the next turn."
"19","25","The user flies up into the sky on the first turn, then attacks on the next turn."
"20","3","Binds the target for 2-5 turns."
"20","5","Binds and squeezes the foe for 2 to 5 turns."
"20","7","A long body or tentacles are used to bind the foe for two to five turns."
"20","8","A long body or tentacles are used to bind and squeeze the foe for two to five turns."
"20","11","Things such as long bodies or tentacles are used to bind and squeeze the target for four to five turns."
"20","25","A long body, tentacles, or the like are used to bind and squeeze the target for four to five turns."
"21","3","Slams the foe with a tail, vine, etc."
"21","5","Slams the foe with a long tail, vine, etc."
"21","7","The foe is struck with a long tail, vines, etc."
"21","8","The foe is slammed with a long tail, vines, etc., to inflict damage."
"21","11","The target is slammed with a long tail, vines, etc., to inflict damage."
"21","15","The target is slammed with a long tail, vines, or the like to inflict damage."
"22","3","Whips the foe with slender vines."
"22","5","Strikes the foe with slender, whiplike vines."
"22","7","The foe is struck with slender, whiplike vines."
"22","8","The foe is struck with slender, whiplike vines to inflict damage."
"22","11","The target is struck with slender, whiplike vines to inflict damage."
"23","3","An attack that may cause flinching."
"23","5","Stomps the enemy with a big foot. May cause flinching."
"23","7","The foe is stomped with a big foot. It may make the foe flinch."
"23","8","The foe is stomped with a big foot. It may also make the target flinch."
"23","11","The target is stomped with a big foot. It may also make the target flinch."
"23","15","The target is stomped with a big foot. This may also make the target flinch."
"23","25","The user attacks by stomping on the target with a big foot. This may also make the target flinch."
"24","3","A double kicking attack."
"24","5","A double-kicking attack that strikes the foe twice."
"24","7","Two legs are used to quickly kick the foe twice in one turn."
"24","8","The foe is quickly kicked twice in succession using both feet."
"24","11","The target is quickly kicked twice in succession using both feet."
"24","25","The user attacks by kicking the target twice in a row using two feet."
"25","3","A powerful kicking attack."
"25","5","An extremely powerful kick with intense force."
"25","7","The foe is attacked by a kick fired with muscle-packed power."
"25","8","The foe is attacked by a kick launched with muscle-packed power."
"25","11","The target is attacked by a kick launched with muscle-packed power."
"26","3","May miss, damaging the user."
"26","5","A strong jumping kick. May miss and hurt the kicker."
"26","7","The user jumps up high, then kicks. If it misses, the user hurts itself."
"26","8","The user jumps up high, then strikes with a kick. If the kick misses, the user hurts itself."
"26","20","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"27","3","A fast, spinning kick."
"27","5","A fast kick delivered from a rapid spin."
"27","7","A quick kick from a rolling spin. It may make the foe flinch."
"27","8","The user cuts a quick spin and lashes out with a sharp kick."
"27","10","The user lashes out with a quick, spinning kick. It may also make the target flinch."
"27","15","The user lashes out with a quick, spinning kick. This may also make the target flinch."
"27","20","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"28","3","Reduces accuracy by throwing sand."
"28","5","Reduces the foe’s accuracy by hurling sand in its face."
"28","7","A lot of sand is hurled in the foe’s face, reducing its accuracy."
"28","8","Sand is hurled in the foe’s face, reducing its accuracy."
"28","11","Sand is hurled in the target’s face, reducing its accuracy."
"28","15","Sand is hurled in the target’s face, reducing the target’s accuracy."
"28","24","Sand is hurled in the target's face, reducing the target's accuracy."
"28","25","Sand is hurled in the target's face, lowering the target's accuracy."
"29","3","An attack that may make foe flinch."
"29","5","A ramming attack that may cause flinching."
"29","7","The user sticks its head out and rams. It may make the foe flinch."
"29","8","The user sticks its head out and rams straight forward. It may make the foe flinch."
"29","10","The user attacks with its head. It may make the foe flinch. To find Pokémon, hit trees."
"29","11","The user sticks out its head and attacks by charging straight into the target. It may also make the target flinch."
"29","15","The user sticks out its head and attacks by charging straight into the target. This may also make the target flinch."
"30","3","An attack using a horn to jab."
"30","5","Jabs the foe with sharp horns."
"30","7","The foe is jabbed with a sharply pointed horn to inflict damage."
"30","11","The target is jabbed with a sharply pointed horn to inflict damage."
"31","3","Jabs the target 2-5 times."
"31","5","Jabs the foe 2 to 5 times with sharp horns, etc."
"31","7","The foe is jabbed repeatedly with a horn or beak two to five times."
"31","8","The foe is jabbed repeatedly with a horn or beak two to five times in a row."
"31","11","The target is jabbed repeatedly with a horn or beak two to five times in a row."
"31","25","The user attacks by jabbing the target with a horn, a beak, or the like. This move hits two to five times in a row."
"32","3","A one-hit KO, drill attack."
"32","5","A one-hit KO attack that uses a horn like a drill."
"32","7","The horn is rotated like a drill to ram. The foe will faint if it hits."
"32","8","The foe is stabbed with a horn rotating like a drill. The foe instantly faints if it hits."
"32","11","The user stabs the target with a horn that rotates like a drill. If it hits, the target faints instantly."
"32","15","The user stabs the target with a horn that rotates like a drill. The target faints instantly if this attack hits."
"33","3","A full-body charge attack."
"33","5","Charges the foe with a fullbody tackle."
"33","7","A physical attack in which the user charges, full body, into the foe."
"33","8","A physical attack in which the user charges and slams into the foe with its whole body."
"33","11","A physical attack in which the user charges and slams into the target with its whole body."
"34","3","An attack that may cause paralysis."
"34","5","A full-body slam that may cause paralysis."
"34","7","The user drops its full body on the foe. It may leave the foe paralyzed."
"34","8","The user drops onto the foe with its full body weight. It may leave the foe paralyzed."
"34","11","The user drops onto the target with its full body weight. It may also leave the target with paralysis."
"34","15","The user drops onto the target with its full body weight. This may also leave the target with paralysis."
"34","25","The user attacks by dropping onto the target with its full body weight. This may also leave the target with paralysis."
"35","3","Squeezes the foe for 2-5 turns."
"35","5","Wraps and squeezes the foe 2 to 5 times with vines, etc."
"35","7","A long body or vines are used to wrap the foe for two to five turns."
"35","8","A long body or vines are used to wrap and squeeze the foe for two to five turns."
"35","11","A long body or vines are used to wrap and squeeze the target for four to five turns."
"35","17","A long body, vines, or the like are used to wrap and squeeze the target for four to five turns."
"36","3","A tackle that also hurts the user."
"36","5","A reckless charge attack that also hurts the user."
"36","7","A reckless, fullbody charge attack that also hurts the user a little."
"36","8","A reckless, full-body charge attack for slamming into the foe. It also damages the user a little."
"36","11","A reckless, full-body charge attack for slamming into the target. It also damages the user a little."
"36","15","A reckless, full-body charge attack for slamming into the target. This also damages the user a little."
"36","25","A reckless full-body charge attack for slamming into the target. This also damages the user a little."
"37","3","Works 2-3 turns and confuses user."
"37","5","A rampage of 2 to 3 turns that confuses the user."
"37","7","The user rampages about for two to three turns, then becomes confused."
"37","8","The user rampages and attacks for two to three turns. It then becomes confused, however."
"37","15","The user rampages and attacks for two to three turns. The user then becomes confused."
"38","3","A tackle that also hurts the user."
"38","5","A life-risking tackle that also hurts the user."
"38","7","A reckless, liferisking tackle that also hurts the user a little."
"38","8","A reckless, liferisking tackle. It also damages the user by a fairly large amount, however."
"38","11","A reckless, life-risking tackle. It also damages the user by a fairly large amount, however."
"38","15","A reckless, life-risking tackle. This also damages the user quite a lot."
"38","20","A reckless, life-risking tackle in which the user rushes the target. This also damages the user quite a lot."
"38","24","A reckless, life-risking tackle in which the user rushes the target. This also damages the user."
"38","25","A reckless life-risking tackle in which the user rushes the target. This also damages the user quite a lot."
"39","3","Lowers the foe's DEFENSE."
"39","5","Wags the tail to lower the foe’s DEFENSE."
"39","7","The user wags its tail cutely, making the foe lower its DEFENSE stat."
"39","8","The user wags its tail cutely, making the foe less wary. The target’s Defense stat is lowered."
"39","11","The user wags its tail cutely, making opposing Pokémon less wary and lowering their Defense stat."
"39","20","The user wags its tail cutely, making opposing Pokémon less wary and lowering their Defense stats."
"39","25","The user wags its tail cutely, making opposing Pokémon less wary. This lowers their Defense stats."
"40","3","An attack that may poison the target."
"40","5","A toxic attack with barbs, etc., that may poison."
"40","7","The foe is stabbed with a toxic barb, etc. It may poison the foe."
"40","8","The foe is stabbed with a poisonous barb of some sort. It may also poison the target."
"40","11","The user stabs the target with a poisonous stinger. This may also poison the target."
"40","25","The user stabs the target with a poisonous stinger to inflict damage. This may also poison the target."
"41","3","Jabs the foe twice using stingers."
"41","5","Stingers on the forelegs jab the foe twice."
"41","7","The foe is stabbed twice with foreleg stingers. It may poison the foe."
"41","8","The foe is stabbed twice by a pair of stingers. It may also poison the target."
"41","11","The user damages the target twice in succession by jabbing it with two spikes. It may also poison the target."
"41","15","The user damages the target twice in succession by jabbing it with two spikes. This may also poison the target."
"41","20","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"42","3","Fires pins that strike 2-5 times."
"42","5","Sharp pins are fired to strike 2 to 5 times."
"42","7","Sharp pins are shot at the foe and hit two to five times at once."
"42","8","Sharp pins are shot at the foe in rapid succession. They hit two to five times in a row."
"42","11","Sharp spikes are shot at the target in rapid succession. They hit two to five times in a row."
"42","24","Sharp spikes are shot at the target. Spike splinters left behind by this attack continue to damage the target for several turns."
"42","25","The user attacks by shooting sharp spikes at the target. This move hits two to five times in a row."
"43","3","Reduces the foe's DEFENSE."
"43","5","Frightens the foe with a leer to lower DEFENSE."
"43","7","The foe is given an intimidating look that lowers its DEFENSE stat."
"43","8","The foe is given an intimidating leer with sharp eyes. The target’s Defense stat is reduced."
"43","11","The opposing team gains an intimidating leer with sharp eyes. The opposing team’s Defense stats are reduced."
"43","14","The user gains an intimidating leer with sharp eyes. The opposing team’s Defense stats are reduced."
"43","15","The user gives opposing Pokémon an intimidating leer that lowers the Defense stat."
"43","25","The user gives opposing Pokémon an intimidating leer that lowers their Defense stats."
"44","3","An attack that may cause flinching."
"44","5","Bites with vicious fangs. May cause flinching."
"44","7","The user bites with vicious fangs. It may make the foe flinch."
"44","8","The foe is bitten with viciously sharp fangs. It may make the target flinch."
"44","11","The target is bitten with viciously sharp fangs. It may make the target flinch."
"44","15","The target is bitten with viciously sharp fangs. This may also make the target flinch."
"44","24","The user bites the target with viciously sharp fangs to inflict damage."
"45","3","Reduces the foe's ATTACK."
"45","5","Growls cutely to reduce the foe’s ATTACK."
"45","7","The user growls in a cute way, making the foe lower its ATTACK stat."
"45","8","The user growls in an endearing way, making the foe less wary. The target’s Attack stat is lowered."
"45","11","The user growls in an endearing way, making the opposing team less wary. The foes’ Attack stats are lowered."
"45","15","The user growls in an endearing way, making opposing Pokémon less wary. This lowers their Attack stats."
"45","17","The user growls in an endearing way, making opposing Pokémon less wary. This lowers their Attack stat."
"46","3","Scares wild foes to end battle."
"46","5","Makes the foe flee to end the battle."
"46","7","The foe is made to switch out with an ally. In the wild, the battle ends."
"46","8","The foe is scared off, to be replaced by another Pokémon in its party. In the wild, the battle ends."
"46","11","The target is scared off and replaced by another Pokémon in its party. In the wild, the battle ends."
"46","14","The target is scared off and switched. In the wild, a battle against a single Pokémon ends."
"46","15","The target is scared off, and a different Pokémon is dragged out. In the wild, this ends a battle against a single Pokémon."
"46","19","The target is scared off, and a different Pokémon is dragged out."
"47","3","May cause the foe to fall asleep."
"47","5","A soothing song lulls the foe into a deep slumber."
"47","7","A soothing song in a calming voice lulls the foe into a deep slumber."
"47","8","A soothing lullaby is sung in a calming voice that puts the foe into a deep slumber."
"47","11","A soothing lullaby is sung in a calming voice that puts the target into a deep slumber."
"47","25","A soothing lullaby is sung in a beautiful voice that puts the target to sleep."
"48","3","Sound waves that cause confusion."
"48","5","Emits bizarre sound waves that may confuse the foe."
"48","7","The user generates odd sound waves. It may confuse the foe."
"48","8","The user generates odd sound waves from its body. It may confuse the target."
"48","15","The user generates odd sound waves from its body that confuse the target."
"49","3","Always inflicts 20HP damage."
"49","5","Launches shock waves that always inflict 20 HP damage."
"49","7","The foe is hit with a shock wave that always inflicts 20HP damage."
"49","8","The foe is hit with a destructive shock wave that always inflicts 20 HP damage."
"49","11","The target is hit with a destructive shock wave that always inflicts 20 HP damage."
"49","20","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"50","3","Disables the foe's most recent move."
"50","5","Psychically disables one of the foe’s moves."
"50","7","For a few turns, it prevents the foe from using the move it last used."
"50","8","For several turns, this move prevents the foe from using the move it last used."
"50","11","For four turns, this move prevents the target from using the move it last used."
"50","25","For four turns, the target will be unable to use whichever move it last used."
"51","3","An attack that may lower DEFENSE."
"51","5","Sprays a hide-melting acid. May lower DEFENSE."
"51","7","The foe is sprayed with a harsh, hidemelting acid that may lower DEFENSE."
"51","8","The foe is attacked with a spray of harsh acid. It may also lower the target’s Sp. Def stat."
"51","11","The opposing team is attacked with a spray of harsh acid. The acid may also lower the targets’ Sp. Def stats."
"51","15","The opposing Pokémon are attacked with a spray of harsh acid. This may also lower their Sp. Def stats."
"51","17","The opposing Pokémon are attacked with a spray of harsh acid. This may also lower their Sp. Def stat."
"51","20","Opposing Pokémon are attacked with a spray of harsh acid. This may also lower their Sp. Def stats."
"52","3","An attack that may inflict a burn."
"52","5","A weak fire attack that may inflict a burn."
"52","7","The foe is attacked with small flames. The foe may suffer a burn."
"52","8","The foe is attacked with small flames. The target may also be left with a burn."
"52","11","The target is attacked with small flames. It may also leave the target with a burn."
"52","15","The target is attacked with small flames. This may also leave the target with a burn."
"53","3","An attack that may inflict a burn."
"53","5","A powerful fire attack that may inflict a burn."
"53","7","The foe is scorched with intense flames. The foe may suffer a burn."
"53","8","The foe is scorched with an intense blast of fire. The target may also be left with a burn."
"53","11","The target is scorched with an intense blast of fire. It may also leave the target with a burn."
"53","15","The target is scorched with an intense blast of fire. This may also leave the target with a burn."
"54","3","Prevents stat reduction."
"54","5","Creates a mist that stops reduction of abilities."
"54","7","The ally party is protected by a mist that prevents stat reductions."
"54","8","The user cloaks its body with a white mist that prevents any of its stats from being cut for five turns."
"54","15","The user cloaks itself and its allies in a white mist that prevents any of their stats from being lowered for five turns."
"55","3","Squirts water to attack."
"55","5","Squirts water to attack the foe."
"55","7","The foe is struck with a lot of water expelled forcibly from the mouth."
"55","8","The foe is blasted with a forceful shot of water."
"55","11","The target is blasted with a forceful shot of water."
"56","3","A powerful watertype attack."
"56","5","Blasts water at high power to strike the foe."
"56","7","A high volume of water is blasted at the foe under great pressure."
"56","8","The foe is blasted by a huge volume of water launched under great pressure."
"56","11","The target is blasted by a huge volume of water launched under great pressure."
"57","3","A strong watertype attack."
"57","5","Creates a huge wave, then crashes it down on the foe."
"57","7","A big wave crashes down on the foe. Can also be used for crossing water."
"57","8","It swamps the entire battlefield with a giant wave. It can also be used for crossing water."
"57","11","It swamps the area around the user with a giant wave. It can also be used for crossing water."
"57","15","The user attacks everything around it by swamping its surroundings with a giant wave. This can also be used for crossing water."
"57","17","The user attacks everything around it by swamping its surroundings with a giant wave."
"58","3","An attack that may freeze the foe."
"58","5","Blasts the foe with an icy beam that may freeze it."
"58","7","The foe is struck with an icy beam. It may freeze the foe solid."
"58","8","The foe is struck with an icy-cold beam of energy. It may also freeze the target solid."
"58","11","The target is struck with an icy-cold beam of energy. It may also freeze the target solid."
"58","15","The target is struck with an icy-cold beam of energy. This may also leave the target frozen."
"58","24","The target is struck with an icy-cold beam of energy. This may also leave the target with frostbite."
"59","3","An attack that may freeze the foe."
"59","5","Hits the foe with an icy storm that may freeze it."
"59","7","The foe is blasted with a blizzard. It may freeze the foe solid."
"59","8","A howling blizzard is summoned to strike the foe. It may also freeze the target solid."
"59","11","A howling blizzard is summoned to strike the opposing team. It may also freeze them solid."
"59","15","A howling blizzard is summoned to strike opposing Pokémon. This may also leave the opposing Pokémon frozen."
"59","24","A howling blizzard is summoned to strike the target. This may also leave the target with frostbite."
"60","3","An attack that may confuse the foe."
"60","5","Fires a peculiar ray that may confuse the foe."
"60","7","A peculiar ray is shot at the foe. It may leave the foe confused."
"60","8","The foe is attacked with a peculiar ray. It may also leave the target confused."
"60","11","The target is attacked with a peculiar ray. It may also cause confusion."
"60","15","The target is attacked with a peculiar ray. This may also leave the target confused."
"60","25","The target is attacked with a peculiar ray. This may also confuse the target."
"61","3","An attack that may lower SPEED."
"61","5","Forcefully sprays bubbles that may lower SPEED."
"61","7","A spray of bubbles strikes the foe. It may lower the foe’s SPEED stat."
"61","8","A spray of bubbles is forcefully ejected at the foe. It may also lower the target’s Speed stat."
"61","11","A spray of bubbles is forcefully ejected at the opposing team. It may also lower their Speed stats."
"61","15","A spray of bubbles is forcefully ejected at the target. This may also lower its Speed stat."
"61","20","A spray of bubbles is forcefully ejected at the target. This may also lower the target’s Speed stat."
"61","24","A spray of bubbles is forcefully ejected at the target. This may also lower the target's Speed stat."
"62","3","An attack that may lower ATTACK."
"62","5","Fires a rainbow-colored beam that may lower ATTACK."
"62","7","A rainbow-colored attack beam. It may lower the foe’s ATTACK stat."
"62","8","The foe is hit with a rainbow-colored beam. It may also lower the target’s Attack stat."
"62","11","The target is hit with a rainbow-colored beam. This may also lower the target’s Attack stat."
"62","24","The target is hit with a rainbow-colored beam. This may also lower the target's Attack stat."
"63","3","1st turn: Attack 2nd turn: Rest"
"63","5","Powerful, but leaves the user immobile the next turn."
"63","7","A severely damaging attack that makes the user rest on the next turn."
"63","8","The foe is attacked with a powerful beam. The user must rest on the next turn to regain its energy."
"63","11","The target is attacked with a powerful beam. The user must rest on the next turn to regain its energy."
"63","15","The target is attacked with a powerful beam. The user can’t move on the next turn."
"63","24","The target is attacked with a powerful beam."
"63","25","The target is attacked with a powerful beam. The user can't move on the next turn."
"64","3","Jabs the foe with a beak, etc."
"64","5","Attacks the foe with a jabbing beak, etc."
"64","7","The foe is jabbed with a sharply pointed beak or horn."
"64","11","The target is jabbed with a sharply pointed beak or horn."
"64","25","The target is jabbed with a sharply pointed beak or horn to inflict damage."
"65","3","A strong, spinning-peck attack."
"65","5","A corkscrewing attack with the beak acting as a drill."
"65","7","A corkscrewing attack with the sharp beak acting as a drill."
"65","15","A corkscrewing attack with a sharp beak acting as a drill."
"65","20","A corkscrewing attack that strikes the target with a sharp beak acting as a drill."
"66","3","An attack that also hurts the user."
"66","5","A reckless body slam that also hurts the user."
"66","7","A reckless, fullbody throw attack that also hurts the user a little."
"66","8","The user grabs the foe and recklessly dives for the ground. It also hurts the user slightly."
"66","11","The user grabs the target and recklessly dives for the ground. It also hurts the user slightly."
"66","15","The user grabs the target and recklessly dives for the ground. This also damages the user a little."
"67","3","An attack that may cause flinching."
"67","5","A kick that inflicts more damage on heavier foes."
"67","7","A low, tripping kick that inflicts more damage on heavier foes."
"67","8","A powerful low kick that makes the foe fall over. It inflicts greater damage on heavier foes."
"67","11","A powerful low kick that makes the target fall over. It inflicts greater damage on heavier targets."
"67","15","A powerful low kick that makes the target fall over. The heavier the target, the greater the move’s power."
"67","24","A powerful low kick that makes the target fall over. The heavier the target, the greater the move's power."
"68","3","Returns a physical blow double."
"68","5","Retaliates any physical hit with double the power."
"68","7","A retaliation move that counters any physical hit with double the damage."
"68","8","A retaliation move that counters any physical attack, inflicting double the damage taken."
"68","25","A retaliatory attack that counters any physical move, inflicting double the damage taken."
"69","3","The user's level equals damage HP."
"69","5","Inflicts damage identical to the user’s level."
"69","7","A gravity-fed throw that causes damage matching the user’s level."
"69","8","The foe is thrown using the power of gravity. It inflicts damage equal to the user’s level."
"69","11","The target is thrown using the power of gravity. It inflicts damage equal to the user’s level."
"69","24","The target is thrown using the power of gravity. It inflicts damage equal to the user's level."
"70","3","A powerful physical attack."
"70","5","Builds enormous power, then slams the foe."
"70","7","The foe is slugged at maximum power. Can also be used to move boulders."
"70","8","The foe is slugged with a punch thrown at maximum power. It can also be used to move boulders."
"70","11","The target is slugged with a punch thrown at maximum power. It can also be used to move heavy boulders."
"70","15","The target is slugged with a punch thrown at maximum power. This can also be used to move heavy boulders."
"70","17","The target is slugged with a punch thrown at maximum power."
"71","3","Steals 1/2 of the damage inflicted."
"71","5","An attack that absorbs half the damage inflicted."
"71","7","An attack that absorbs half the damage it inflicted to restore HP."
"71","8","A nutrient-draining attack. The user’s HP is restored by half the damage taken by the target."
"71","24","The user attacks by draining the target’s nutrients. Some of the damage dealt to the target is absorbed by the user to restore their own HP."
"71","25","A nutrient-draining attack. The user's HP is restored by up to half the damage taken by the target."
"72","3","Steals 1/2 of the damage inflicted."
"72","5","An attack that absorbs half the damage inflicted."
"72","7","A tough attack that drains half the damage it inflicted to restore HP."
"72","8","A nutrient-draining attack. The user’s HP is restored by half the damage taken by the target."
"72","24","A nutrient-draining attack. The user's HP is restored by half the damage taken by the target."
"72","25","A nutrient-draining attack. The user's HP is restored by up to half the damage taken by the target."
"73","3","Steals HP from the foe on every turn."
"73","5","Plants a seed on the foe to steal HP on every turn."
"73","7","A seed is planted on the foe to steal some HP for the user on every turn."
"73","8","A seed is planted on the foe. It steals some HP from the foe to heal the user on every turn."
"73","11","A seed is planted on the target. It steals some HP from the target every turn."
"74","3","Raises the SPCL. ATK rating."
"74","5","Forces the body to grow and heightens SP. ATK."
"74","7","The user’s body is forced to grow, raising the SP. ATK stat."
"74","8","The user’s body is forced to grow all at once. It raises the Sp. Atk stat."
"74","11","The user’s body grows all at once, raising the Attack and Sp. Atk stats."
"74","24","The user's body grows all at once, raising the Attack and Sp. Atk stats."
"74","25","The user's body grows all at once, boosting the Attack and Sp. Atk stats."
"75","3","Has a high critical hit ratio."
"75","5","Cuts the enemy with leaves. High critical-hit ratio."
