"name","flavor"
"Fillet Away","The user sharply boosts its Attack, Sp. Atk, and Speed stats by using its own HP."
"Final Gambit","The user risks everything to attack the target. The user faints but inflicts damage equal to its own HP."
"Fire Blast","The target is attacked with an intense blast of all-consuming fire. This may also leave the target with a burn."
"Fire Fang","The user bites with flame-cloaked fangs. This may also make the target flinch or leave it with a burn."
"Fire Lash","The user strikes the target with a burning lash. This also lowers the target's Defense stat."
"Fire Pledge","A column of fire hits the target. When used with its grass counterpart, this move's power is boosted and a vast sea of fire appears."
"Fire Punch","The target is attacked with a fiery punch. This may also leave the target with a burn."
"Fire Spin","The user traps the target inside a fierce vortex of fire that inflicts damage for four to five turns."
"First Impression","Although this move has great power, it works only on the first turn each time the user enters battle."
"Fishious Rend","The user rends the target with its hard gills. If the user attacks before the target, the power of this move is doubled."
"Fissure","The user opens up a fissure in the ground and drops the target in. The target faints instantly if this attack hits."
"Flail","The user flails about aimlessly to attack. The less HP the user has, the greater the move's power."
"Flame Burst","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Flame Charge","Cloaking itself in flame, the user attacks the target. Then, building up momentum, the user boosts its Speed stat."
"Flame Wheel","The user attacks by cloaking itself in fire and charging at the target. This may also leave the target with a burn."
"Flamethrower","The target is scorched with an intense blast of fire. This may also leave the target with a burn."
"Flare Blitz","The user cloaks itself in fire and charges the target to inflict damage. This also damages the user quite a lot and may leave the target with a burn."
"Flash","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Flash Cannon","The user gathers all its light energy and releases it at once. This may also lower the target's Sp. Def stat."
"Flatter","Flattery is used to confuse the target. However, this also boosts the target's Sp. Atk stat."
"Fleur Cannon","The user unleashes a strong beam. The recoil from this move harshly lowers the user's Sp. Atk stat."
"Fling","The user flings its held item at the target to attack. This move's power and effects depend on the item."
"Flip Turn","After making its attack, the user rushes back to switch places with a party Pokémon in waiting."
"Floaty Fall","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Floral Healing","The user restores the target's HP by up to half its max HP. More HP is restored when the ground is Grassy Terrain."
"Flower Shield","The user raises the Defense stats of all Grass-type Pokémon in battle with a mysterious power."
"Flower Trick","The user throws a rigged bouquet of flowers at the target. This attack never misses and always lands a critical hit."
"Fly","The user flies up into the sky on the first turn, then attacks on the next turn."
"Flying Press","The user dives down onto the target from the sky. This move is Fighting and Flying type simultaneously."
"Focus Blast","The user heightens its mental focus and unleashes its power. This may also lower the target's Sp. Def stat."
"Focus Energy","The user takes a deep breath and focuses so that its future attacks have a heightened chance of landing critical hits."
"Focus Punch","The user focuses its mind before launching a punch. This move fails if the user is hit before using the move."
"Follow Me","The user draws attention to itself, making all opposing Pokémon take aim only at the user."
"Force Palm","The target is attacked with a shock wave. This may also leave the target with paralysis."
"Foresight","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Forest’s Curse","The user puts a forest curse on the target. This adds Grass type to the target's type."
"Foul Play","The user turns the target's strength against it. The higher the target's Attack stat, the greater the damage this move inflicts."
"Freeze Shock","The turn after using this move, the user hits the target with electrically charged ice to inflict damage. This may also leave the target with paralysis."
"Freeze-Dry","The user rapidly cools the target. This may also leave the target frozen. This move is super effective on Water types."
"Freezing Glare","The user shoots its psychic power from its eyes to attack. This may also leave the target frozen."
"Freezy Frost","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Frenzy Plant","The user slams the target with the roots of an enormous tree. The user can't move on the next turn."
"Frost Breath","The user attacks by blowing its cold breath on the target. This move always lands a critical hit."
"Frustration","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Fury Attack","The user attacks by jabbing the target with a horn, a beak, or the like. This move hits two to five times in a row."
"Fury Cutter","The user attacks by slashing the target with scythes, claws, or the like. This attack becomes more powerful if it hits in succession."
"Fury Swipes","The user attacks by raking the target with claws, scythes, or the like. This move hits two to five times in a row."
"Fusion Bolt","The user throws down a giant lightning bolt. This move's power is boosted when influenced by an enormous flame."
"Fusion Flare","The user brings down a giant flame. This move's power is boosted when influenced by an enormous lightning bolt."
"Future Sight","Two turns after this move is used, a hunk of psychic energy attacks the target."
"Gastro Acid","The user hurls up its stomach acids on the target. The fluid eliminates the effect of the target's Ability."
"Gear Grind","The user attacks by throwing steel gears at its target twice."
"Gear Up","The user engages its gears to raise the Attack and Sp. Atk stats of ally Pokémon with the Plus or Minus Ability."
"Genesis Supernova","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Geomancy","The user absorbs energy and sharply raises its Sp. Atk, Sp. Def, and Speed stats on the next turn."
"Giga Drain","A nutrient-draining attack. The user's HP is restored by up to half the damage taken by the target."
"Giga Impact","The user charges at the target using every bit of its power. The user can't move on the next turn."
"Gigaton Hammer","The user swings its whole body around to attack with its huge hammer. This move can't be used twice in a row."
"Gigavolt Havoc","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Glacial Lance","The user attacks by hurling a blizzard-cloaked icicle lance at opposing Pokémon."
"Glaciate","The user attacks by blowing freezing cold air at opposing Pokémon. This also lowers their Speed stats."
"Glaive Rush","The user throws its entire body into a reckless charge. After this move is used, attacks on the user cannot miss and will inflict double damage until the user’s next turn."
"Glare","The user intimidates the target with the pattern on its belly to cause paralysis."
"Glitzy Glow","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"G-Max Cannonade","A Water-type attack that Gigantamax Blastoise use. This move continues to deal damage to opponents for four turns."
"G-Max Centiferno","A Fire-type attack that Gigantamax Centiskorch use. This move traps opponents in flames for four to five turns."
"G-Max Cuddle","A Normal-type attack that Gigantamax Eevee use. This move infatuates opponents."
"G-Max Fireball","A Fire-type attack that Gigantamax Cinderace use. This move can be used on the target regardless of its Abilities."
"G-Max Foam Burst","A Water-type attack that Gigantamax Kingler use. This move harshly lowers the Speed of opponents."
"G-Max Gold Rush","A Normal-type attack that Gigantamax Meowth use. This move confuses opponents and also earns extra money."
"G-Max Hydrosnipe","A Water-type attack that Gigantamax Inteleon use. This move can be used on the target regardless of its Abilities."
"G-Max Rapid Flow","A Water-type attack that Gigantamax Urshifu use. This rapid-strike move can ignore Max Guard."
"G-Max Replenish","A Normal-type attack that Gigantamax Snorlax use. This move restores Berries that have been eaten."
"G-Max Stonesurge","A Water-type attack that Gigantamax Drednaw use. This move scatters sharp rocks around the field."
"G-Max Stun Shock","An Electric-type attack that Gigantamax Toxtricity use. This move poisons or paralyzes opponents."
"G-Max Volt Crash","An Electric-type attack that Gigantamax Pikachu use. This move paralyzes opponents."
