location_area_id,local_language_id,name
157,9,"Road 210 (south, towards Solaceon Town)"
158,9,"Road 210 (west, towards Celestic Town)"
159,9,"Road 211 (west, towards Eterna City)"
160,9,"Road 211 (east, towards Celestic Town)"
161,9,"Road 212 (north, towards Hearthome City)"
162,9,"Road 212 (east, towards Pastoria City)"
163,9,Road 213
164,9,Road 214
165,9,Road 215
166,9,Road 216
167,9,Road 217
168,9,Road 218
169,9,Road 219
170,9,Road 221
171,9,Road 222
172,9,Road 224
173,9,Road 225
174,9,Road 227
175,9,Road 228
176,9,Road 229
177,9,Twinleaf Town
178,9,Celestic Town
179,9,Resort Area
180,9,Road 220
181,9,Road 223
182,9,Road 226
183,9,Road 230
184,9,New Bark Town
185,9,Road 29
186,9,Cherrygrove City
187,9,Road 30
188,9,Road 31
189,9,Violet City
190,9,Sprout Tower (2F)
191,9,Sprout Tower (3F)
192,9,Road 32
193,9,Ruins of Alph (outside)
194,9,Ruins of Alph (interior A)
195,9,Ruins of Alph (interior B)
196,9,Ruins of Alph (interior C)
197,9,Ruins of Alph (interior D)
198,9,Union Cave (1F)
199,9,Union Cave (B1F)
200,9,Union Cave (B2F)
201,9,Road 33
202,9,Slowpoke Well (1F)
203,9,Slowpoke Well (B1F)
204,9,Ilex Forest
205,9,Road 34
206,9,Road 35
207,9,National Park
208,9,Unknown Area; all bugs
209,9,Road 36
210,9,Road 37
211,9,Ecruteak City
212,9,Burned Tower (1F)
213,9,Burned Tower (B1F)
214,9,Bell Tower (2F)
215,9,Bell Tower (3F)
216,9,Bell Tower (4F)
217,9,Bell Tower (5F)
218,9,Bell Tower (6F)
219,9,Bell Tower (7F)
220,9,Bell Tower (8F)
221,9,Bell Tower (9F)
222,9,Road 38
223,9,Road 39
224,9,Olivine City
225,9,Road 40
226,9,Road 41
227,9,Whirl Islands (1F)
228,9,Whirl Islands (B1F)
229,9,Whirl Islands (empty floor X)
230,9,Whirl Islands (B2F)
231,9,Whirl Islands (empty floor Y)
232,9,Whirl Islands (B3F)
235,9,Cianwood City
236,9,Road 42
237,9,Mount Mortar (1F)
238,9,Mount Mortar (Lower Cave)
239,9,Mount Mortar (Upper Cave)
240,9,Mount Mortar (B1F)
241,9,Road 43
242,9,Lake of Rage
243,9,Road 44
244,9,Ice Path (1F)
245,9,Ice Path (B1F)
246,9,Ice Path (B2F)
247,9,Ice Path (B3F)
249,9,Blackthorn City
250,9,Dragon's Den
251,9,Road 45
252,9,Road 46
253,9,Dark Cave (Violet City entrance)
254,9,Dark Cave (Blackthorn City entrance)
255,9,Road 47
256,9,Mount Moon Square
257,9,Unknown Area; all Poliwag
258,9,Seafoam Islands (1F)
259,9,Seafoam Islands (B1F)
260,9,Seafoam Islands (B2F)
261,9,Seafoam Islands (B3F)
262,9,Seafoam Islands (B4F)
263,9,Mount Silver (2F)
264,9,Mount Silver (1F top)
265,9,Mount Silver (4F)
266,9,Road 47 (cave gate)
267,9,Road 47 (inside cave)
268,9,Bell Tower (10F)
269,9,Mount Silver (outside)
270,9,Mount Silver (1F)
271,9,Mount Silver (mountainside)
272,9,Mount Silver (3F)
273,9,Mount Silver (top)
275,9,Unknown Area; all Rattata
276,9,Road 12
277,9,Road 19
278,9,Road 20
279,9,Cinnabar Island
280,9,Viridian City
281,9,Cerulean City
282,9,Vermilion City
283,9,Celadon City
284,9,Fuchsia City
285,9,Pallet Town
286,9,Road 48
287,9,Road 26
288,9,Road 27
289,9,Road 28
290,9,Mount Moon (1F)
291,9,Mount Moon (2F)
292,9,Rock Tunnel (1F)
293,9,Rock Tunnel (B1F)
294,9,Victory Road 1 (1F)
295,9,Road 1
296,9,"Road 2 (south, towards Viridian City)"
297,9,Road 3
298,9,Road 4
299,9,Road 5
300,9,Road 6
301,9,Road 7
302,9,Road 8
303,9,Road 9
304,9,Road 10
305,9,Road 11
306,9,Road 13
307,9,Road 14
308,9,Road 15
309,9,Road 16
310,9,Road 17
311,9,Road 18
312,9,Road 21
313,9,Road 22
314,9,Road 24
315,9,Road 25
316,9,Tohjo Falls
317,9,Digletts Cave
318,9,Victory Road 1 (2F)
319,9,Victory Road 1 (3F)
320,9,"Road 2 (north, towards Pewter City)"
321,9,Viridian Forest
323,9,Cerulean Cave (1F)
324,9,Cerulean Cave (2F)
325,9,Cerulean Cave (B1F)
326,9,Mount Moon (B1F)
327,9,Mount Moon (B2F)
328,9,Rock Tunnel (B2F)
329,9,Road 23
330,9,Power Plant
331,9,Victory Road 2 (1F)
332,9,Victory Road 2 (2F)
333,9,Victory Road 2 (3F)
334,9,Pokemon Tower (1F)
335,9,Pokemon Tower (2F)
336,9,Pokemon Tower (3F)
337,9,Pokemon Tower (4F)
338,9,Pokemon Tower (5F)
339,9,Pokemon Tower (6F)
340,9,Pokemon Tower (7F)
341,9,Pokemon Mansion (1F)
342,9,Pokemon Mansion (2F)
343,9,Pokemon Mansion (3F)
344,9,Pokemon Mansion (B1F)
345,9,Safari Zone (middle)
346,9,"Safari Zone (Area 1, east)"
347,9,"Safari Zone (Area 2, north)"
348,9,"Safari Zone (Area 3, west)"
349,9,S.S. Anne dock
350,9,Petalburg City
351,9,Slateport City
352,9,Lilycove City
353,9,Mossdeep City
354,9,Sootopolis City
355,9,Ever Grande City
356,9,Meteor Falls
357,9,Meteor Falls (back)
358,9,Meteor Falls (B1F)
359,9,Meteor Falls (back/small room)
360,9,Rusturf Tunnel
361,9,Granite Cave (1F)
362,9,Granite Cave (B1F)
363,9,Granite Cave (B2F)
364,9,Granite Cave (1F/small room)
365,9,Petalburg Woods
366,9,Jagged Pass
367,9,Fiery Path
368,9,Mount Pyre (1F)
369,9,Mount Pyre (2F)
370,9,Mount Pyre (3F)
371,9,Mount Pyre (4F)
372,9,Mount Pyre (5F)
373,9,Mount Pyre (6F)
374,9,Mount Pyre (outside)
375,9,Mount Pyre (summit)
376,9,Seafloor Cavern
377,9,Cave of Origin (entrance)
378,9,Cave of Origin (1F)
379,9,Cave of Origin (B1F)
380,9,Cave of Origin (B2F)
381,9,Cave of Origin (B3F)
382,9,Victory Road (1F)
383,9,Victory Road (B1F)
384,9,Victory Road (B2F)
385,9,Shoal Cave
386,9,Shoal Cave (B1F)
387,9,New Mauville (entrance)
388,9,New Mauville
389,9,Abandoned Ship
390,9,Sky Pillar (1F)
391,9,Sky Pillar (3F)
392,9,Sky Pillar (5F)
393,9,Road 101
394,9,Road 102
395,9,Road 103
396,9,Road 104
397,9,Road 105
398,9,Road 106
399,9,Road 107
400,9,Road 108
401,9,Road 109
402,9,Road 110
403,9,Road 111
404,9,Road 112
405,9,Road 113
406,9,Road 114
407,9,Road 115
408,9,Road 116
409,9,Road 117
410,9,Road 118
411,9,Road 119
412,9,Road 120
413,9,Road 121
414,9,Road 122
415,9,Road 123
416,9,Road 124
417,9,Road 124 (underwater)
418,9,Road 125
419,9,Road 126
420,9,Road 126 (underwater)
421,9,Road 127
422,9,Road 128
423,9,Road 129
424,9,Road 130
425,9,Road 131
426,9,Road 132
427,9,Road 133
428,9,Road 134
429,9,Safari Zone (NW/mach bike area)
430,9,Safari Zone (NE/acro bike area)
431,9,Safari Zone (SW)
432,9,Safari Zone (SE)
433,9,Dewford Town
434,9,Pacifidlog Town
435,9,Safari Zone (expansion south)
436,9,Safari Zone (expansion north)
437,9,Magma Hideout
438,9,Mirage Tower
439,9,Desert Underpass
440,9,Artisan Cave
441,9,Altering Cave
450,9,Monean Chamber
451,9,Liptoo Chamber
452,9,Weepth Chamber
453,9,Dilford Chamber
454,9,Scufib Chamber
455,9,Rixy Chamber
456,9,Viapos Chamber
461,9,S.S. Anne
488,9,Mount Ember
489,9,Mount Ember (cave)
490,9,Mount Ember (inside)
491,9,"Mount Ember (1F, cave behind team rocket)"
492,9,Mount Ember (B1F)
493,9,Mount Ember (B2F)
494,9,Mount Ember (B3F)
495,9,Berry Forest
496,9,Icefall Cave (entrance)
497,9,Icefall Cave (1F)
498,9,Icefall Cave (B1F)
499,9,Icefall Cave (waterfall)
500,9,Pattern Bush
501,9,Lost Cave (room 1)
502,9,Lost Cave (room 2)
503,9,Lost Cave (room 3)
504,9,Lost Cave (room 4)
505,9,Lost Cave (room 5)
506,9,Lost Cave (room 6)
507,9,Lost Cave (room 7)
508,9,Lost Cave (room 8)
509,9,Lost Cave (room 9)
510,9,Lost Cave (room 10)
511,9,Lost Cave (item rooms)
512,9,Kindle Road
513,9,Treasure Beach
514,9,Cape Brink
515,9,Bond Bridge
516,9,Three Isle Port
517,9,Resort Gorgeous
518,9,Water Labyrinth
519,9,Five Isle Meadow
520,9,Memorial Pillar
521,9,Outcast Island
522,9,Green Path
523,9,Water Path
524,9,Ruin Valley
525,9,Trainer Tower
526,9,Canyon Entrance
527,9,Sevault Canyon
528,9,Tanoby Ruins
561,9,One Island
562,9,Four Island
563,9,Five Island
564,9,Altering Cave (A)
565,9,Altering Cave (B)
566,9,Altering Cave (C)
567,9,Altering Cave (D)
568,9,Altering Cave (E)
569,9,Altering Cave (F)
570,9,Altering Cave (G)
571,9,Altering Cave (H)
572,9,Altering Cave (I)
576,9,Striaton City
577,9,Driftveil City
578,9,Icirrus City
579,9,Dreamyard
580,9,Dreamyard (B1F)
581,9,Pinwheel Forest (outside)
582,9,Pinwheel Forest (inside)
583,9,Desert Resort (entrance)
584,9,Desert Resort
585,9,Relic Castle (A)
586,9,Relic Castle (B)
587,9,Relic Castle (C)
588,9,Relic Castle (D)
589,9,Cold Storage
590,9,Chargestone Cave (1F)
591,9,Chargestone Cave (B1F)
592,9,Chargestone Cave (B2F)
593,9,Twist Mountain
594,9,Dragonspiral Tower (entrance)
595,9,Dragonspiral Tower (outside)
596,9,Dragonspiral Tower (1F)
597,9,Dragonspiral Tower (2F)
598,9,Victory Road (outside)
599,9,Victory Road (unknown area 53)
600,9,Victory Road (unknown area 54)
601,9,Victory Road (unknown area 55)
602,9,Victory Road (4f Middle Room)
603,9,Victory Road (unknown area 57)
604,9,Victory Road (unknown area 58)
605,9,Victory Road (unknown area 59)
606,9,Victory Road (unknown area 60)
607,9,Victory Road (unknown area 61)
608,9,Victory Road (unknown area 62)
609,9,Victory Road (unknown area 63)
610,9,Victory Road (unknown area 64)
611,9,Victory Road (unknown area 65)
612,9,Victory Road (unknown area 66)
613,9,Trial Chamber
614,9,Giant Chasm (outside)
615,9,Giant Chasm
616,9,Giant Chasm (forest)
617,9,Giant Chasm (forest cave)
618,9,P2 Laboratory
619,9,Undella Bay
620,9,Driftveil Drawbridge
621,9,Village Bridge
622,9,Marvelous Bridge
623,9,Road 1
624,9,Road 2
625,9,Road 3
626,9,Wellspring Cave
627,9,Road 4
628,9,Road 5
629,9,Road 6
630,9,Mistralton Cave
631,9,Guidance Chamber
632,9,Road 7
633,9,Celestial Tower (2F)
634,9,Celestial Tower (3F)
635,9,Celestial Tower (4F)
636,9,Celestial Tower (5F)
637,9,Road 8
638,9,Moor of Icirrus
639,9,Road 9
640,9,Challengers Cave (1F)
641,9,Challengers Cave (B1F)
642,9,Challengers Cave (B2F)
643,9,Road 10
644,9,Road 10 (Victory Road gate)
645,9,Road 11
646,9,Road 12
647,9,Road 13
648,9,Road 14
649,9,Abundant Shrine
650,9,Road 15
651,9,Road 16
652,9,Lostlorn Forest
653,9,Road 18
654,9,Undella Town
655,9,Road 17
656,9,Castelia City
657,9,Aspertia City
658,9,Virbank City
659,9,Humilau City
660,9,Victory Road (7F)
661,9,Victory Road 2 (unknown area 71)
662,9,Victory Road 2 (unknown area 72)
663,9,Victory Road 2 (unknown area 73)
664,9,Victory Road 2 (unknown area 74)
665,9,Victory Road 2 (unknown area 75)
666,9,Victory Road 2 (unknown area 76)
667,9,Victory Road 2 (unknown area 77)
668,9,Victory Road 2 (unknown area 78)
669,9,Victory Road 2 (unknown area 79)
670,9,Victory Road 2 (unknown area 80)
671,9,Castelia Sewers
672,9,Castelia Sewers (unknown area 38)
673,9,Floccesy Ranch (outer)
674,9,Floccesy Ranch (inner)
675,9,Virbank Complex (outer)
676,9,Virbank Complex (inner)
677,9,Reversal Mountain (unknown area 48)
678,9,Reversal Mountain (unknown area 49)
679,9,Reversal Mountain (unknown area 50)
680,9,Reversal Mountain (unknown area 51)
681,9,Reversal Mountain (unknown area 52)
682,9,Reversal Mountain (unknown area 53)
683,9,Reversal Mountain (unknown area 54)
684,9,Reversal Mountain (unknown area 55)
685,9,Reversal Mountain (unknown area 56)
686,9,Reversal Mountain (unknown area 57)
687,9,Reversal Mountain (unknown area 58)
688,9,Reversal Mountain (unknown area 59)
689,9,Reversal Mountain (unknown area 60)
690,9,Strange House (1F)
691,9,Strange House (B1F)
692,9,Relic Tunnel (Castelia Sewers entrance)
693,9,Relic Tunnel (Relic Castle entrance)
694,9,Relic Tunnel (PWT entrance)
695,9,Clay Tunnel
696,9,Underground Ruins
697,9,Rocky Mountain Room
698,9,Glacier Room
699,9,Iron Room
700,9,Seaside Cave (1F)
701,9,Seaside Cave (B1F)
702,9,Nature Sanctuary
703,9,Road 19
704,9,Road 20
705,9,Road 22
706,9,Road 23
707,9,Road 21
708,9,Couriway Town
709,9,Ambrette Town
710,9,Cyllage City
711,9,Shalour City
712,9,Laverre City
713,9,Road 2
714,9,Road 3
715,9,Road 4
716,9,Road 5
717,9,Road 6
718,9,Road 7
719,9,Road 8
720,9,Road 9
721,9,Road 10
722,9,Road 11
723,9,Road 12
724,9,Road 13
725,9,Road 14
726,9,Road 15
727,9,Road 16
728,9,Road 17
729,9,Road 18
730,9,Road 19
731,9,Road 20
732,9,Road 21
733,9,Road 22
734,9,Santalune Forest
735,9,Parfum Palace
736,9,Glittering Cave (unknown area 303)
737,9,Glittering Cave (unknown area 304)
738,9,Reflection Cave (unknown area 305)
739,9,Reflection Cave (unknown area 306)
740,9,Reflection Cave (unknown area 307)
741,9,Reflection Cave (unknown area 308)
742,9,Frost Cavern (unknown area 313)
743,9,Frost Cavern (unknown area 314)
744,9,Frost Cavern (unknown area 315)
745,9,Frost Cavern (unknown area 316)
746,9,Frost Cavern (unknown area 317)
747,9,Pokemon Village
748,9,Victory Road (unknown area 322)
749,9,Victory Road (unknown area 324)
750,9,Victory Road (unknown area 326)
751,9,Victory Road (unknown area 327)
752,9,Victory Road (unknown area 328)
753,9,Connecting Cave
754,9,Terminus Cave (unknown area 343)
754,9,Terminus Cave (1F)
755,9,Terminus Cave (unknown area 344)
755,9,Terminus Cave (B1F left)
756,9,Terminus Cave (unknown area 345)
756,9,Terminus Cave (B1F right)
757,9,Terminus Cave (unknown area 347)
757,9,Terminus Cave (B2F)
758,9,Terminus Cave (unknown area 348)
758,9,Terminus Cave (Zygarde's Chamber)
759,9,Lost Hotel
760,9,Azure Bay
761,9,Pokemon Center (Road 4)
762,9,Fighting Dojo
763,9,Celadon Mansion rooftop
764,9,Silph Co. 7F
765,9,Goldenrod City (north gate)
766,9,Goldenrod City (Bill's house)
767,9,Cianwood City (Mania's house)
768,9,Weather Institute (Road 119)
769,9,Mossdeep City (Steven's house)
770,9,Littleroot Town
771,9,Hearthome City
772,9,Veilstone City
773,9,Cianwood City (Kirk's house)
774,9,Nuvema Town
775,9,Game Freak HQ 1F (Castelia City)
776,9,Weather Institute (Road 6)
777,9,Floccesy Town
778,9,Aquacorde Town
779,9,Lumiose City
780,9,Tower of Mastery
781,9,Contest Hall (Slateport City)
782,9,Contest Hall (Verdanturf Town)
783,9,Contest Hall (Fallarbor Town)
784,9,Contest Hall (Lilycove City)
785,9,Southern Island
786,9,Battle Resort
787,9,Lavaridge Town
788,9,Eterna City (west gate)
789,9,Hearthome City (west gate)
790,9,Violet City (Poke Mart)
791,9,Violet City (Pokemon Center)
792,9,Nacrene City (west gate)
793,9,Bell Tower (roof)
794,9,Roaming Kanto
795,9,Wandert durch Johto
796,9,Roaming Hoenn
797,9,Roaming Sinnoh
798,9,Azalea Town
800,9,Mahogany City
801,9,Cave of Origin (B4F)
802,9,Terra Cave
803,9,Marine Cave
804,9,Sky Pillar Apex
805,9,Bell Tower (1F)
806,9,Birth Island
807,9,Navel Rock
808,9,Faraway Island
809,9,Hoenn Battle Frontier
810,9,Desert Ruins
811,9,Island Cave
812,9,Ancient Tomb
813,9,Safari Zone Peak
814,9,Safari Zone Desert
815,9,Safari Zone Plains
816,9,Safari Zone Meadow
817,9,Safari Zone Forest
818,9,Safari Zone Swamp
819,9,Safari Zone Marshland
820,9,Safari Zone Mountain
821,9,Safari Zone Rocky Beach
822,9,Safari Zone Wasteland
823,9,Safari Zone Savannah
824,9,Safari Zone Wetland
825,9,Mount Ember Summit
826,9,Embedded Tower (Kyogre’s room)
827,9,Embedded Tower (Groudon’s room)
828,9,Embedded Tower (Rayquaza’s room)
829,9,Lake Acuity Cavern
830,9,Lake Valor Cavern
831,9,Spear Pillar
832,9,Pokemon Center (Road 3)
833,9,Cinnabar Lab (Cinnabar Island)
834,9,Rustboro City
835,9,Silph Co.
836,9,Pokemon Center (Cianwood City)
837,9,Stark Mountain (Heatran Chamber)
838,9,Newmoon Island
839,9,Flower Paradise
840,9,Hall of Origin
841,9,Team Rocket HQ
842,9,Sinjoy Ruins
843,9,Route 1
844,9,Route 2
845,9,Route 3 (East)
847,9,Route 4
848,9,Route 5
849,9,Route 6
850,9,Route 7
851,9,Route 8 (Main)
852,9,Route 8 (Steamdrift Way)
853,9,Route 9 (Main)
854,9,Route 9 (Circhester Bay)
855,9,Route 9 (Outer Spikemuth)
856,9,Route 10 (Main)
857,9,Route 10 (Near Station)
858,9,Axew's Eye
859,9,Ballimere Lake
860,9,Ballonlea
861,9,Battle Tower
862,9,Brawlers' Cave
863,9,Bridge Field
864,9,Challenge Beach
868,9,Challenge Road
869,9,Circhester
870,9,Courageous Cavern
871,9,Crown Shrine
872,9,Dappled Grove
873,9,Dusty Bowl
874,9,Dyna Tree Hill
875,9,East Lake Axewell
876,9,Fields of Honor
878,9,Forest of Focus
879,9,Freezington
880,9,Frigid Sea
881,9,Frostpoint Field
882,9,Galar Mine
883,9,Galar Mine No. 2
884,9,Giant's Bed
885,9,Giant's Cap (Main Area)
886,9,Giant's Cap (Area 2)
887,9,Giant's Cap (Area 3)
888,9,Giant's Foot
889,9,Giant's Mirror (Main Area)
890,9,Giant's Seat
891,9,Glimwood Tangle
892,9,Hammerlocke
893,9,Hammerlocke Hills
894,9,Honeycalm Island
895,9,Honeycalm Sea
896,9,Hulbury
897,9,Iceberg Ruins
898,9,Insular Sea
899,9,Iron Ruins
900,9,Lake of Outrage
901,9,Lakeside Cave
902,9,Loop Lagoon
904,9,Master Dojo
905,9,Max Lair
906,9,Motostoke
907,9,Motostoke Outskirts
908,9,Motostoke Riverbank
909,9,North Lake Miloch
910,9,Old Cemetery
911,9,Path to the Peak
912,9,Postwick
913,9,Potbottom Desert
914,9,Roaring-Sea Caves
915,9,Rock Peak Ruins
916,9,Rolling Fields (Main Area)
917,9,Rolling Fields (Area 2)
918,9,Slippery Slope
919,9,Slumbering Weald (Entrance)
920,9,Snowslide Slope
921,9,Soothing Wetlands
922,9,South Lake Miloch (Main Area)
923,9,South Lake Miloch (Area 2)
924,9,Spikemuth
925,9,Split-Decision Ruins
927,9,Stepping-Stone Sea (Main Area)
928,9,Stepping-Stone Sea (Area 2)
929,9,Stony Wilderness (Main Area)
930,9,Stony Wilderness (Area 2)
931,9,Stony Wilderness (Area 3)
932,9,Stow-on-Side
933,9,Three-Point Pass
934,9,Tower of Darkness
935,9,Tower of Waters
936,9,Training Lowlands
938,9,Tunnel to the Top
939,9,Turffield
940,9,Warm-Up Tunnel
941,9,Watchtower Ruins
942,9,Wedgehurst
943,9,West Lake Axewell
944,9,Workout Sea
945,9,Wyndon
1167,9,Lighthouse Basement
1169,9,Rumination Field
1169,9,Roaming Unova
1179,9,Sea Mauville (Outside)
1180,9,Sea Mauville (Inside)
1181,9,Mossdeep Space Center
1182,9,Roaming Kalos
1183,9,Nameless Cavern
1184,9,Soaring in the Sky
1185,9,Scorched Slab (1F)
1186,9,Scorched Slab (B1F)
1187,9,Scorched Slab (B2F)
1188,9,Scorched Slab (B3F)
1189,9,Crescent Isle
1190,9,Pathless Plain
1191,9,Fabled Cave
1192,9,Gnarled Den
1194,9,Trainers' School
1195,9,Ultra Space Wilds Cliff World
1196,9,Ultra Space Wilds Water World
1197,9,Ultra Space Wilds Rocky World
1198,9,Ultra Space Wilds Cave World
1199,9,Mount Lanakila Crater
1215,9,Mirage Island (West Of Dewford Town)
1216,9,Mirage Island (West Of Route 104)
1217,9,Mirage Island (Route 114)
1218,9,Mirage Island (Route 124)
1219,9,Mirage Island (Route 132)
1220,9,Mirage Island (South of Route 134)
1221,9,Mirage Island (South of Pacifidlog)
1222,9,Mirage Island (East of Shoal Cave)
1223,9,Mirage Island
1224,9,Mirage Forest (North of Lilycove)
1225,9,Mirage Forest (South of Route 132)
1226,9,Mirage Forest (East of Mossdeep)
1227,9,Mirage Forest (South of Route 109)
1228,9,Mirage Forest (North of Route 124)
1229,9,Mirage Forest (West of Route 114)
1230,9,Mirage Forest (West of Route 105)
1231,9,Mirage Forest (South of Route 111)
1232,9,Outskirt Stand (Outside)
1233,9,Phenac City (Mayor's House)
1234,9,Snagem Hideout 1F
1235,9,Shadow Pokémon Lab B2F
1236,9,Phenac City (West Exit)
1237,9,Phenac City (East Exit)
1238,9,Phenac City (South Exit)
1239,9,Pyrite Town (Duel Square)
1240,9,Pyrite Town (Entrance)
1241,9,Pyrite Bldg 1F
1242,9,Pyrite Cave (Miror's Hideout)
1243,9,Pyrite Bldg 4F
1244,9,Pyrite Cave (Outside)
1245,9,Pyrite Cave (South Sewers)
1246,9,Pyrite Cave B1F
1247,9,Pyrite Cave B1F (Post Sewers)
1248,9,Realgam Tower
1249,9,Phenac City Stadium
1250,9,Pyrite Town (Duking's House)
1251,9,Shadow Pokémon Lab B1F
1252,9,Agate Village (Relic Forest)
1253,9,The Under Colosseum
1254,9,Mt. Battle 10F
1255,9,The Under
1256,9,The Under (TV Studio)
1257,9,The Under (Subway)
1258,9,Snagem Hideout 2F
1259,9,Realgam Tower Colosseum
1260,9,The Under (Deep Colosseum)
1261,9,Mt. Battle 100F
1262,9,Phenac City (Card E Room)
1263,9,Pokemon HQ Lab
1264,9,Pokemon HQ Lab (Outside)
1265,9,Gateon Port (Across Bridge)
1266,9,Gateon Port (Lighthouse Top)
1267,9,Cipher Lab (Outside)
1268,9,Cipher Lab B2F
1269,9,Cipher Lab B1F
1270,9,Cave Pokespot
1271,9,ONBS 2F
1272,9,ONBS 3F
1273,9,ONBS Roof
1274,9,ONBS 4F
1275,9,Phenac City Prestige Precept Center
1276,9,Cipher Key Lair (Outside)
1277,9,Cipher Key Lair 1F
1278,9,Cipher Key Lair 2F
1279,9,Cipher Key Lair 3F
1280,9,Cipher Key Lair 4F
1281,9,Cipher Key Lair Roof
1282,9,Cipher Key Lair 5F
1283,9,Citadark Isle (Outside)
1284,9,Citadark Isle 1F
1285,9,Citadark Isle B1F
1286,9,Citadark Isle 2F
1287,9,Citadark Isle 3F
1288,9,Citadark Isle 6F
1289,9,Citadark Isle Dome Exterior
1290,9,Citadark Isle Dome B1F
1291,9,Citadark Isle Dome 1F
1292,9,Citadark Isle Dome 2F
1293,9,Gateon Port
1294,9,Rock Pokespot
1295,9,Oasis Pokespot
1296,9,Mt. Battle Lobby
1297,9,Outskirt Stand (Inside)
1298,9,Pyrite Town Colosseum
1299,9,Phenac City Stadium (Outside)
1300,9,Celadon City Prize Corner
1301,9,Goldenrod City Game Corner
1302,9,Kanto Underground Path
1303,9,Violet City (Southwest House)
1304,9,Goldenrod City Department Store 5F
1305,9,Mirage Cave (South of Pacifidlog)
1306,9,Mirage Cave (North of Route 132)
1307,9,Mirage Cave (North of Fallarbor)
1308,9,Mirage Cave (North of Fortree)
