encounter_condition_value_id,local_language_id,name
157,9,Give Tangela in a Trade
158,9,Give Golduck in a Trade
159,9,Give Growlithe in a Trade
160,9,Give Kangaskhan in a Trade
161,9,Give Bellsprout in a Trade
162,9,Give Drowzee in a Trade
163,9,Give Krabby in a Trade
164,9,Give Dragonair in a Trade
165,9,Give Chansey in a Trade
166,9,Give Gloom in a Trade
167,9,Give Haunter in a Trade
168,9,Give Dugtrio in a Trade
169,9,Give Slakoth in a Trade
170,9,Give Pikachu in a Trade
171,9,Give Bellossom in a Trade
172,9,Give Ralts in a Trade
173,9,Give Volbeat in a Trade
174,9,Give Bagon in a Trade
175,9,Give Skitty in a Trade
176,9,Randomly assigned to Friend Safari Slot 1
177,9,Randomly assigned to Friend Safari Slot 2
178,9,Randomly assigned to Friend Safari Slot 3
179,9,Have Skull Fossil in bag
180,9,Have Armor Fossil in bag
181,9,Great Marsh Daily Chance: None
182,9,Great Marsh Daily Chance: 1 in 32
183,9,Great Marsh Daily Chance: 2 in 32
184,9,Great Marsh Daily Chance: 3 in 32
185,9,Great Marsh Daily Chance: 5 in 32
186,9,Before National Pokédex
187,9,Great Marsh Daily Chance: 4 in 32
188,9,Great Marsh Daily Chance: 15 in 32
189,9,Honey Tree Group A (70% on normal trees / 20% on Munchlax trees)
190,9,Honey Tree Group B (20% on normal trees / 70% on Munchlax trees)
191,9,Honey Tree Group C (0% on normal trees / 1% on Munchlax trees)
192,9,Headbutt Tree (Common)
193,9,Headbutt Tree (Rare)
194,9,Headbutt Tree (Secret)
195,9,Give Cottonee in a Trade
196,9,Give Petilil in a Trade
197,9,Give Emolga in a Trade
198,9,Give Mantine in a Trade
199,9,Give Ditto in a Trade
200,9,Give Excadrill in a Trade
201,9,Give Hippowdon in a Trade
202,9,Mr. Backlot hasn't mentioned any Pokemon
203,9,Mr. Backlot has mentioned seeing this Pokemon in the garden
204,9,Not during the Bug-Catching Contest
205,9,During the Bug-Catching Contest
206,9,Have save data from Let's Go Pikachu
207,9,Have save data from Let's Go Eevee
208,9,Have Fossilized Bird in bag
209,9,Have Fossilized Drake in bag
210,9,Have Fossilized Dino in bag
211,9,Have Fossilized Fish in bag
212,9,Complete the Master Dojo's first trial
213,9,Complete all three Master Dojo trials
214,9,Find 5 Alolan Diglett in Isle of Armor
215,9,Find 10 Alolan Diglett in Isle of Armor
216,9,Find 20 Alolan Diglett in Isle of Armor
217,9,Find 30 Alolan Diglett in Isle of Armor
218,9,Find 40 Alolan Diglett in Isle of Armor
219,9,Find 50 Alolan Diglett in Isle of Armor
220,9,Find 75 Alolan Diglett in Isle of Armor
221,9,Find 100 Alolan Diglett in Isle of Armor
222,9,Find 150 Alolan Diglett in Isle of Armor
223,9,Grookey as starter
224,9,Scorbunny as starter
225,9,Sobble as starter
226,9,Save Freezington from the onslaught from Glastrier or Spectrier
227,9,Catch 5 Ultra Beasts in Dynamax Adventures
228,9,Give Bunnelby in a Trade
229,9,Give Galarian Meowth in a Trade
230,9,Give Minccino in a Trade
231,9,Give Toxel in a Trade
232,9,Give Maractus in a Trade
233,9,Give Galarian Yamask in a Trade
234,9,Give Vanillish in a Trade
235,9,Give Obstagoon in a Trade
236,9,Give Frosmoth in a Trade
237,9,Give Galarian Farfetch'd in a Trade
238,9,Give Galarian Corsola in a Trade
239,9,Give Galarian Ponyta in a Trade
240,9,Give Galarian Mr. Mime in a Trade
241,9,Give Galarian Darumaka in a Trade
242,9,Give Galarian Zigzagoon in a Trade
243,9,Give Galarian Stunfisk in a Trade
244,9,Give Galarian Weezing in a Trade
245,9,Give Exeggutor in a Trade
246,9,Give Marowak in a Trade
247,9,During normal weather
248,9,During overcast weather
249,9,During rainy weather
250,9,During a thunderstorm
251,9,During snowy weather
252,9,During a snowstorm
253,9,During a sandstorm
254,9,During intense sun
255,9,During foggy weather
256,9,Before entering the Hall of Fame
257,9,Not replaced by block-based encounter
258,9,At least 2 Plains block points placed
259,9,At least 3 Plains block points placed
260,9,At least 4 Plains block points placed
261,9,At least 5 Plains block points placed
262,9,At least 6 Plains block points placed
263,9,At least 10 Plains block points placed
264,9,At least 12 Plains block points placed
265,9,At least 14 Plains block points placed
266,9,At least 15 Plains block points placed
267,9,At least 24 Plains block points placed
268,9,At least 28 Plains block points placed
269,9,At least 35 Plains block points placed
270,9,At least 49 Plains block points placed
271,9,At least 3 Forest block points placed
272,9,At least 4 Forest block points placed
273,9,At least 5 Forest block points placed
274,9,At least 8 Forest block points placed
275,9,At least 10 Forest block points placed
276,9,At least 14 Forest block points placed
277,9,At least 15 Forest block points placed
278,9,At least 18 Forest block points placed
279,9,At least 20 Forest block points placed
280,9,At least 28 Forest block points placed
281,9,At least 35 Forest block points placed
282,9,At least 42 Forest block points placed
283,9,At least 49 Forest block points placed
284,9,At least 56 Forest block points placed
285,9,At least 3 Peak block points placed
286,9,At least 4 Peak block points placed
287,9,At least 5 Peak block points placed
288,9,At least 6 Peak block points placed
289,9,At least 8 Peak block points placed
290,9,At least 10 Peak block points placed
291,9,At least 15 Peak block points placed
292,9,At least 21 Peak block points placed
293,9,At least 24 Peak block points placed
294,9,At least 28 Peak block points placed
295,9,At least 35 Peak block points placed
296,9,At least 42 Peak block points placed
297,9,At least 49 Peak block points placed
298,9,At least 56 Peak block points placed
299,9,At least 63 Peak block points placed
300,9,At least 2 Water block points placed
301,9,At least 3 Water block points placed
302,9,At least 4 Water block points placed
303,9,At least 5 Water block points placed
304,9,At least 6 Water block points placed
305,9,At least 7 Water block points placed
306,9,At least 8 Water block points placed
307,9,At least 9 Water block points placed
308,9,At least 10 Water block points placed
309,9,At least 12 Water block points placed
310,9,At least 13 Water block points placed
311,9,At least 14 Water block points placed
312,9,At least 15 Water block points placed
313,9,At least 16 Water block points placed
314,9,At least 18 Water block points placed
315,9,At least 20 Water block points placed
316,9,At least 24 Water block points placed
317,9,At least 28 Water block points placed
318,9,At least 35 Water block points placed
319,9,At least 42 Water block points placed
320,9,At least 49 Water block points placed
321,9,Have Cover Fossil in bag
322,9,Have Plume Fossil in bag
323,9,Did not catch Giratina in the Distortion World
324,9,Find 50 sets of Cavern Footprints in The Crown Tundra
325,9,Find 50 sets of Grassland Footprints in The Crown Tundra
326,9,Find 50 sets of Iron Will Footprints in The Crown Tundra
327,9,"Have Regirock, Regice, Registeel, Regieleki, and Regidrago in the party"
328,9,Activate the pattern for Regieleki in the Split-Decision Ruins.
329,9,Activate the pattern for Regidrago in the Split-Decision Ruins.
330,9,Grow an Iceroot Carrot while helping Calyrex.
331,9,Grow a Shaderoot Carrot while helping Calyrex.
332,9,Talk to at least 32 people after interacting with the tombstone in Ballimere Lake.
333,9,"Eat curry on the island with Cobalion, Terrakion, and Virizion in your party after showing them to Sonia."
334,9,Have Reins of Unity in bag
335,9,"Witness the Galarian forms of Articuno, Zapdos, and Moltres fight at Dyna Tree Hill."
336,9,"Start max raid in a den with a weak, red pillar of light."
337,9,"Start max raid in a den with a strong, purple pillar of light."
338,9,Start a max raid with a difficulty of 1 star.
339,9,Start a max raid with a difficulty of 2 stars.
340,9,Start a max raid with a difficulty of 3 stars.
341,9,Start a max raid with a difficulty of 4 stars.
342,9,Start a max raid with a difficulty of 5 stars.
343,9,"Start max raid in a den with a weak, red pillar of light after checking Wild Area News."
344,9,Interact with a Red Berry Tree
345,9,Interact with a Blue Berry Tree
346,9,Interact with a Purple Berry Tree
347,9,Interact with a Green Berry Tree
348,9,Interact with a Yellow Berry Tree
349,9,Interact with a Pink Berry Tree
350,9,Interact with a Shaking Trash Can (Daily)
351,9,Interact with a Shaking Trash Can (Tuesday)
352,9,Interact with a Shaking Trash Can (Thursday)
353,9,Give Nidoran-F in a Trade
354,9,Give Nidorina in a Trade
355,9,Give Machop in a Trade
356,9,Give Buizel in a Trade
357,9,Give Medicham in a Trade
358,9,Give Finneon in a Trade
359,9,Give Forretress in a Trade
360,9,Give Bonsly in a Trade
361,9,Give any Pokemon in a Trade
